trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
98,164,6,217,10.620494866629736
99,164,6,217,10.620494866629736
100,164,12,217,10.620494866629736
101,164,7,217,10.620494866629736
102,164,3,217,10.620494866629736
103,164,8,217,10.620494866629736
104,164,5,217,10.620494866629736
105,164,2,217,10.620494866629736
106,164,7,217,10.620494866629736
107,164,4,217,10.620494866629736
108,164,10,217,10.620494866629736
109,164,6,217,10.620494866629736
110,164,7,217,10.620494866629736
111,164,4,217,10.620494866629736
112,164,4,217,10.620494866629736
113,164,9,217,10.620494866629736
114,164,5,217,10.620494866629736
115,164,6,217,10.620494866629736
116,164,10,217,10.620494866629736
117,164,12,217,10.620494866629736
118,164,8,217,10.620494866629736
119,164,9,217,10.620494866629736
120,164,8,217,10.620494866629736
121,164,10,217,10.620494866629736
122,164,7,217,10.620494866629736
123,164,5,217,10.620494866629736
124,164,6,217,10.620494866629736
125,164,6,217,10.620494866629736
126,164,7,217,10.620494866629736
127,164,6,217,10.620494866629736
128,164,8,217,10.620494866629736
129,164,5,217,10.620494866629736
130,164,13,217,10.620494866629736
131,164,5,217,10.620494866629736
132,164,12,217,10.620494866629736
133,164,6,217,10.620494866629736
134,164,6,217,10.620494866629736
135,164,11,217,10.620494866629736
136,164,9,217,10.620494866629736
137,164,7,217,10.620494866629736
138,164,5,217,10.620494866629736
139,164,3,217,10.620494866629736
140,164,9,217,10.620494866629736
141,164,9,217,10.620494866629736
142,164,6,217,10.620494866629736
143,164,4,217,10.620494866629736
144,164,4,217,10.620494866629736
145,164,3,217,10.620494866629736
146,164,6,217,10.620494866629736
147,164,10,217,10.620494866629736
148,164,5,217,10.620494866629736
149,164,5,217,10.620494866629736
150,164,6,217,10.620494866629736
151,164,5,217,10.620494866629736
152,164,2,217,10.620494866629736
153,164,10,217,10.620494866629736
154,164,5,217,10.620494866629736
155,164,6,217,10.620494866629736
156,164,5,217,10.620494866629736
157,164,6,217,10.620494866629736
158,164,7,217,10.620494866629736
159,164,4,217,10.620494866629736
160,164,8,217,10.620494866629736
161,164,9,217,10.620494866629736
162,164,11,217,10.620494866629736
163,164,6,217,10.620494866629736
164,164,8,217,10.620494866629736
165,164,1,217,10.620494866629736
166,164,6,217,10.620494866629736
167,164,6,217,10.620494866629736
168,164,8,217,10.620494866629736
169,164,5,217,10.620494866629736
170,164,14,217,10.620494866629736
171,164,5,217,10.620494866629736
172,164,14,217,10.620494866629736
173,164,10,217,10.620494866629736
174,164,6,217,10.620494866629736
175,164,6,217,10.620494866629736
176,164,6,217,10.620494866629736
177,164,9,217,10.620494866629736
178,164,9,217,10.620494866629736
179,164,5,217,10.620494866629736
180,164,4,217,10.620494866629736
181,164,6,217,10.620494866629736
182,164,4,217,10.620494866629736
183,164,8,217,10.620494866629736
184,164,6,217,10.620494866629736
185,164,10,217,10.620494866629736
186,164,4,217,10.620494866629736
187,164,4,217,10.620494866629736
188,164,4,217,10.620494866629736
189,164,4,217,10.620494866629736
190,164,9,217,10.620494866629736
191,164,8,217,10.620494866629736
192,164,5,217,10.620494866629736
193,164,8,217,10.620494866629736
194,164,6,217,10.620494866629736
195,164,9,217,10.620494866629736
196,164,10,217,10.620494866629736
197,164,7,217,10.620494866629736
198,164,5,217,10.620494866629736
199,164,6,217,10.620494866629736
200,164,3,217,10.620494866629736
201,164,8,217,10.620494866629736
202,164,8,217,10.620494866629736
203,164,8,217,10.620494866629736
204,164,4,217,10.620494866629736
205,164,3,217,10.620494866629736
206,164,9,217,10.620494866629736
207,164,2,217,10.620494866629736
208,164,8,217,10.620494866629736
209,164,4,217,10.620494866629736
210,164,7,217,10.620494866629736
211,164,8,217,10.620494866629736
212,164,3,217,10.620494866629736
213,164,3,217,10.620494866629736
214,164,5,217,10.620494866629736
215,164,11,217,10.620494866629736
216,164,9,217,10.620494866629736
217,164,7,217,10.620494866629736
218,164,7,217,10.620494866629736
219,164,1,217,10.620494866629736
220,164,8,217,10.620494866629736
