condition,true_class,seed,policy,classification_correct,classification_margin,adaptation_scale,uncertainty_scale,post_event_state_proxy_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,recovery_time,recovered,intervened
process_disturbance_boundary,process_disturbance,37130,generic_uncertainty,True,4.107350596502492,0.25,1.5,0.6798030850338008,0.31415751169981276,0.31369935033893515,0.17127575903473474,,False,True
process_disturbance_boundary,process_disturbance,37130,probabilistic_failure_aware,True,4.107350596502492,0.1,1.25,0.7446869686692306,0.3776607338335264,0.3774797401355743,0.06851030361389392,,False,True
process_disturbance_boundary,process_disturbance,37131,baseline,True,4.008506217045398,1.0,1.0,0.8366533339613023,0.014004753962723406,0.0012214854297085687,0.6546818137949534,0,True,False
process_disturbance_boundary,process_disturbance,37131,generic_uncertainty,True,4.008506217045398,0.25,1.5,0.6831245866011862,0.3131744698696507,0.3146946286425726,0.16367045344873835,,False,True
process_disturbance_boundary,process_disturbance,37131,probabilistic_failure_aware,True,4.008506217045398,0.1,1.25,0.748325491335722,0.3772660025165724,0.377877851457029,0.06546818137949531,,False,True
process_disturbance_boundary,process_disturbance,37132,baseline,True,0.5726768504392559,1.0,1.0,0.7547492958497981,0.009165547667767927,0.0032431171998185127,0.6615856854488493,0,True,False
process_disturbance_boundary,process_disturbance,37132,generic_uncertainty,True,0.5726768504392559,0.25,1.5,0.616250219518969,0.31394559183878523,0.3141892207000454,0.16539642136221233,,False,True
process_disturbance_boundary,process_disturbance,37132,probabilistic_failure_aware,True,0.5726768504392559,0.1,1.25,0.6750682925960994,0.3775764829534825,0.3776756882800182,0.06615856854488493,,False,True
process_disturbance_boundary,process_disturbance,37133,baseline,True,3.083474642822118,1.0,1.0,0.7411920631700292,0.010310336237280317,0.0008699514049770318,0.6531869315989048,0,True,False
process_disturbance_boundary,process_disturbance,37133,generic_uncertainty,True,3.083474642822118,0.25,1.5,0.605180785389096,0.31396945541436305,0.31478251214875586,0.1632967328997262,,False,True
process_disturbance_boundary,process_disturbance,37133,probabilistic_failure_aware,True,3.083474642822118,0.1,1.25,0.6629423350526013,0.37758541686254943,0.37791300485950174,0.06531869315989049,,False,True
process_disturbance_boundary,process_disturbance,37134,baseline,True,2.586060596774013,1.0,1.0,0.7296439927627981,0.009866398491543861,0.0002179325452924541,0.6639057298983693,0,True,False
process_disturbance_boundary,process_disturbance,37134,generic_uncertainty,True,2.586060596774013,0.25,1.5,0.5957518253852793,0.3138225629162483,0.31505448313632356,0.16597643247459232,,False,True
process_disturbance_boundary,process_disturbance,37134,probabilistic_failure_aware,True,2.586060596774013,0.1,1.25,0.6526134268767926,0.3775270342126127,0.3780217932545299,0.06639057298983686,,False,True
process_disturbance_boundary,process_disturbance,37135,baseline,True,5.547302496218045,1.0,1.0,0.8966314738047363,0.011717134115819568,0.001959580048567,0.6727521392318487,0,True,False
