bootstrap,primary_auc,action_only_auc,difference
351,0.8338895051451882,0.7840308628218294,0.04985864232335879
352,0.8302475311020594,0.7792188158732034,0.05102871522885599
353,0.8234136553200728,0.7719950637762627,0.05141859154381012
354,0.818380565268964,0.776108006247739,0.042272559021224954
355,0.8287534076397851,0.7857146669620065,0.043038740677778575
356,0.8353869830075543,0.7886981602244448,0.046688822783109485
357,0.8319504588230542,0.7796767890030891,0.05227366981996506
358,0.8369820264665219,0.7877554294154523,0.049226597051069576
359,0.8233022442007489,0.7741828575736107,0.04911938662713822
360,0.8283449288028871,0.7791224352542847,0.04922249354860242
361,0.8304032659602608,0.7864862919914734,0.043916973968787465
362,0.8292018957199405,0.7740815190499752,0.055120376669965276
363,0.835386229809086,0.7824121177946398,0.05297411201444613
364,0.8447179915939802,0.8016579009807023,0.04306009061327787
365,0.8303493524686241,0.7876735326910432,0.04267581977758084
366,0.8290953682697814,0.7860841030260126,0.04301126524376875
367,0.8291410004634312,0.7820269214923041,0.04711407897112707
368,0.8380396028221804,0.7935923806412116,0.04444722218096875
369,0.8351095838059823,0.7836641118343232,0.05144547197165916
370,0.8321641918900086,0.7862304145090744,0.04593377738093418
371,0.827517447657029,0.7804199358525312,0.04709751180449773
372,0.830005474399977,0.7891405192036188,0.04086495519635813
373,0.8381556252176942,0.785941065830721,0.05221455938697317
374,0.8319197680877832,0.7847194640495903,0.047200304038192975
375,0.8190759865712836,0.773328129065834,0.04574785750544952
376,0.8281348914060479,0.778890851391138,0.049244040014909896
377,0.8299959625573239,0.7821049781872847,0.047890984370039136
378,0.8374201228641549,0.7896406983357298,0.047779424528425096
379,0.8256248693147772,0.7736210538604138,0.05200381545436339
380,0.8336633684480649,0.7860090441255657,0.047654324322499164
381,0.8295001267051468,0.784300347819304,0.04519977888584281
382,0.8279694988797823,0.7738318538895663,0.054137644990216005
383,0.8206738992131745,0.7724447119746571,0.048229187238517324
384,0.8265480082923453,0.778389220178723,0.048158788113622286
385,0.8225822511772388,0.7790185130766971,0.043563738100541705
386,0.8240540785836954,0.7738405806350057,0.05021349794868968
387,0.8312448773241535,0.7807812434266548,0.05046363389749875
388,0.8215927635656843,0.7740779529947809,0.047514810570903454
389,0.820226876967844,0.7742547665294556,0.04597211043838845
390,0.8264006556866464,0.7790997266616462,0.04730092902500027
391,0.8241304284847618,0.775294302093345,0.04883612639141677
392,0.824047850740911,0.777449605707427,0.046598245033483976
393,0.8370750818522882,0.789315106631114,0.047759975221174145
394,0.8366378094816134,0.781116081438485,0.05552172804312838
395,0.8236258753683229,0.7763887183406455,0.04723715702767739
396,0.8277489814294756,0.7821450159137715,0.045603965515704115
397,0.8237739623101292,0.7766672081877994,0.047106754122329786
398,0.8299385248711983,0.7806311343698428,0.049307390501355575
399,0.8404644300701682,0.7845710091638437,0.05589342090632454
400,0.8302197062344481,0.7809543329489541,0.04926537328549396
401,0.82311129490177,0.7745937802080288,0.048517514693741215
402,0.8314423272136663,0.7836343447150025,0.047807982498663804
403,0.8328776412073582,0.7781016765928093,0.05477596461454892
404,0.8272412543027964,0.7764253792856599,0.05081587501713647
405,0.8354894016681762,0.7912514366811025,0.044237964987073664
406,0.8352122182585295,0.790100866823386,0.045111351435143554
407,0.8218219617690606,0.7675960114793353,0.05422595028972532
408,0.8273509075801349,0.7765126492782655,0.05083825830186939
409,0.8282353576805976,0.7751775816127331,0.05305777606786455
410,0.818443916530041,0.7736808645899556,0.04476305194008545
411,0.834194576333029,0.7825460004671123,0.051648575865916646
412,0.8326665093026779,0.7895593690878409,0.04310714021483708
413,0.8323537418825495,0.7842603848151699,0.048093357067379605
414,0.8192634331714443,0.771579124895597,0.047684308275847354
